Federal Provider Number,Provider Name,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,RN Staffing Rating,Processing Date
675808,WINDSOR CARE CENTER,4,4,4,3,3,4/1/2016
675816,GREENBRIER NURSING & REHABILITATION CENTER OF PALE,1,2,4,1,1,4/1/2016
675810,LANCASTER NURSING & REHABILITATION CENTER,2,1,5,3,3,4/1/2016
675838,BIRCHWOOD NURSING AND REHABILITATION LP,1,1,2,1,1,4/1/2016
675832,RISING STAR NURSING CENTER,1,3,1,1,1,4/1/2016
675867,KERENS CARE CENTER,2,1,5,3,3,4/1/2016
675884,TEAGUE LTC PARTNERS INC,5,4,5,3,2,4/1/2016
675885,BURLESON ST JOSEPH MANOR,1,2,4,1,2,4/1/2016
675879,TERRELL HEALTHCARE CENTER,5,4,5,3,3,4/1/2016
675927,CRANE NURSING & REHABILITATION CENTER,1,1,4,2,2,4/1/2016
675931,CEDAR HILLS GERIATRIC CENTER,1,2,2,1,1,4/1/2016
675936,PONDEROSA NURSING AND REHABILITATION,2,1,4,4,4,4/1/2016
675940,HEMPHILL CARE CENTER,2,4,1,1,1,4/1/2016
675934,LA DORA NURSING AND REHABILITATION CENTER,3,3,4,2,3,4/1/2016
675961,REGENCY VILLAGE,4,3,3,4,4,4/1/2016
675964,MRC CREEKSIDE,3,2,2,4,3,4/1/2016
675974,MEDINA VALLEY HEALTH & REHABILITATION CENTER,2,3,4,1,1,4/1/2016
675993,CYPRESS GLEN EAST NURSING & REHABILITATION,3,2,5,3,4,4/1/2016
676004,THE HILLS NURSING & REHABILITATION,5,4,5,2,2,4/1/2016
676007,WILLOW REHAB & NURSING,1,1,2,1,1,4/1/2016
676024,HALE CENTER HEALTH AND REHABILITATION,2,2,3,3,2,4/1/2016
676026,WILL-O-BELL,3,3,4,3,3,4/1/2016
676036,VISTA RIDGE NURSING & REHABILITATION CENTER,1,1,2,3,3,4/1/2016
676043,HOUSTON COUNTY NURSING HOME,4,4,2,2,3,4/1/2016
676051,BRIARCLIFF SKILLED NURSING FACILITY,4,3,5,3,3,4/1/2016
676077,GIBSON CARE CENTER,5,5,3,4,4,4/1/2016
676086,GOLDTHWAITE HEALTH & REHAB CENTER,5,5,4,3,2,4/1/2016
676091,SAGECREST ALZHEIMERS CARE CENTER,5,5,5,4,4,4/1/2016
676117,BERTRAM NURSING AND REHAB CENTER,4,4,2,3,3,4/1/2016
676121,SILVER TREE NURSING AND REHABILITATION CENTER,2,1,5,2,2,4/1/2016
676112,CRESTVIEW COURT,5,4,5,4,5,4/1/2016
676125,WINDSOR ATRIUM,3,2,2,4,4,4/1/2016
676140,REFUGIO NURSING & REHAB CENTER,3,4,4,1,1,4/1/2016
676146,TOWN EAST REHABILITATION AND HEALTHCARE CENTER,5,5,5,3,2,4/1/2016
676160,REGENT CARE CENTER OF KINGWOOD,2,3,2,1,2,4/1/2016
676164,COLONIAL BELLE NURSING HOME,3,3,2,2,2,4/1/2016
676176,SENIOR CARE OF CROWLEY,4,5,4,1,1,4/1/2016
676197,RIDGEVIEW REHABILITATION AND SKILLED NURSING,5,5,5,1,2,4/1/2016
676213,SENIOR CARE OF HEWITT,1,1,4,1,2,4/1/2016
676239,VILLA TOSCANA AT CYPRESS WOODS,2,1,5,4,3,4/1/2016
676253,LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS,2,3,3,1,1,4/1/2016
676262,THE HEIGHTS OF TYLER,3,3,4,2,2,4/1/2016
676301,AUTUMN WINDS RETIREMENT LODGE,3,4,2,1,1,4/1/2016
676313,LAREDO NURSING AND REHABILITATION CENTER,1,2,3,1,1,4/1/2016
676312,LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST,4,3,5,,,4/1/2016
676318,WINDMILL NURSING & REHAB CENTER,2,2,4,3,2,4/1/2016
676337,WINDSOR HOUSTON,1,1,3,1,2,4/1/2016
676343,ROYAL MANOR II LLC,2,3,4,1,2,4/1/2016
676355,GAZEBO TERRACE SKILLED CARE & REHABILITATION,1,1,3,2,3,4/1/2016
676353,CORONADO AT STONE OAK,5,3,5,4,4,4/1/2016
676362,BRIDGECREST REHABILITATION SUITES,2,2,4,3,2,4/1/2016
676370,HARMONEE HOUSE,3,4,1,3,3,4/1/2016
676375,ST GILES NURSING AND REHABILITATION CENTER,,,,,,4/1/2016
676379,PATHWAYS MEMORY CARE AT VILLA TOSCANA,,,,,,4/1/2016
676384,THE MEDICAL RESORT AT SUGAR LAND,,,,,,4/1/2016
676387,HIGHLAND MEADOWS HEALTH & REHAB,,,,,,4/1/2016
145008,DUQUOIN NURSING AND REHAB,4,4,4,2,3,4/1/2016
15044,"CAREGIVERS OF PLEASANT GROVE, INC",4,4,4,4,4,4/1/2016
155570,PLEASANT VIEW LODGE,5,4,5,3,3,4/1/2016
55072,ROSECRANS CARE CENTER,4,2,5,4,3,4/1/2016
106061,RIDGECREST NURSING AND REHABILITATION CENTER,2,1,2,4,4,4/1/2016
555797,GORDON LANE CARE CENTER,5,3,5,5,5,4/1/2016
315500,MANORCARE HEALTH SERVICES - VOORHEES,3,2,5,3,4,4/1/2016
245578,BETHANY RESIDENCE AND REHABILITATION CENTER,2,1,2,4,5,4/1/2016
175435,MEDICALODGES JACKSON COUNTY,4,4,3,3,3,4/1/2016
335020,HEBREW HOME FOR THE AGED AT RIVERDALE,5,5,5,2,3,4/1/2016
255322,DUNBAR VILLAGE TERRACE,1,1,1,3,1,4/1/2016
325032,ST JOHN HEALTHCARE AND REHABILITATION CENTER,3,2,3,4,4,4/1/2016
525657,MONTELLO CARE CENTER,3,2,3,4,4,4/1/2016
445409,CRESTVIEW HEALTH AND REHABILITATION,2,2,2,3,3,4/1/2016
215329,BUCKINGHAM'S CHOICE,4,2,5,5,5,4/1/2016
215253,FUTURE CARE COLD SPRING,2,1,5,5,5,4/1/2016
435100,SUNSET MANOR AVERA HEALTH,3,2,3,5,5,4/1/2016
555237,SAN GABRIEL VALLEY MEDICAL CTR D/P SNF,5,4,2,5,5,4/1/2016
55286,KEARNY MESA CONVALESCENT AND NURSING HOME,5,5,5,3,3,4/1/2016
155402,HERITAGE HEALTHCARE,5,3,5,4,4,4/1/2016
366282,KNOLLS OF OXFORD,5,5,5,4,4,4/1/2016
106101,SEBASTIAN RIVER MEDICAL CENTER,2,1,3,4,5,4/1/2016
445465,SIGNATURE HEALTHCARE OF COLUMBIA,2,2,2,3,3,4/1/2016
555458,GLENWOOD CARE CENTER,5,4,5,4,5,4/1/2016
105596,REGENTS PARK AT AVENTURA,3,3,3,2,1,4/1/2016
676187,HERITAGE HOUSE OF MARSHALL HEALTH & REHABILITATION,1,1,4,3,3,4/1/2016
15048,CULLMAN HEALTH CARE CENTER,1,1,1,4,4,4/1/2016
555095,N M HOLDERMAN MEMORIAL HOSPITAL -  SNF,3,2,3,5,5,4/1/2016
105285,BAY CENTER,2,3,1,3,2,4/1/2016
185476,COLDSPRING TRANSITIONAL CARE CENTER,4,4,3,2,3,4/1/2016
455463,THE MEADOWS HEALTH AND REHABILITATION CENTER,4,4,3,2,2,4/1/2016
145825,SOUTH ELGIN REHAB & HCC,2,2,3,2,4,4/1/2016
65402,CAREMERIDIAN LLC,5,5,5,,,4/1/2016
55491,OAK RIDGE HEALTHCARE CENTER,5,4,3,5,5,4/1/2016
205060,CEDAR RIDGE CENTER,4,4,2,4,5,4/1/2016
55848,KINDRED NURSING AND HEALTHCARE-VICTORIAN,4,4,4,3,4,4/1/2016
555256,THE REHABILITATION CENTER OF BAKERSFIELD,2,1,4,4,4,4/1/2016
265205,CEDARGATE HEALTHCARE,1,2,1,2,1,4/1/2016
155542,CLOVERLEAF OF KNIGHTSVILLE,3,2,2,4,4,4/1/2016
75369,BRIDGEPORT MANOR,2,2,2,3,1,4/1/2016
366045,JENNINGS HALL,4,4,3,3,2,4/1/2016
115551,CUMMING NURSING CENTER,4,3,5,3,3,4/1/2016
165369,WESTVIEW OF INDIANOLA CARE CENTER,4,3,2,4,3,4/1/2016
65406,GARDENS ON QUAIL,5,3,5,5,5,4/1/2016
25A389,"WEBSTER HEALTH SERVICES, INC",5,5,2,3,2,4/1/2016
56105,BALBOA NURSING & REHABILITATION CENTER,4,2,5,5,5,4/1/2016
265149,FOUR SEASONS LIVING CENTER,2,3,3,1,1,4/1/2016
105393,BEAR CREEK NURSING CENTER,4,4,4,3,2,4/1/2016
155207,NEW HAVEN CENTER,3,3,3,2,3,4/1/2016
245544,CAMDEN CARE CENTER,1,1,4,3,3,4/1/2016
56078,LAKEVIEW TERRACE,2,1,5,3,1,4/1/2016
15144,"CHANDLER HEALTH & REHAB CENTER, LLC",1,1,1,5,5,4/1/2016
165431,TITONKA CARE CENTER,5,5,3,4,5,4/1/2016
676157,USSERY ROAN TEXAS STATE VETERANS HOME,3,3,4,3,3,4/1/2016
185479,THE HOME PLACE - MIDWAY,,,,,,4/1/2016
225376,"PENACOOK PLACE, INC",4,4,2,4,4,4/1/2016
366230,COUNTRY POINTE,2,1,5,3,3,4/1/2016
225511,WILLOW MANOR,2,2,1,4,4,4/1/2016
56063,INFINITY CARE OF EAST LOS ANGELES,2,2,4,2,1,4/1/2016
105331,AVENTURA PLAZA REHABILITATION & NURSING CENTER,3,2,3,5,5,4/1/2016
675635,EBONY LAKE NURSING AND REHABILITATION CENTER,4,3,5,3,2,4/1/2016
335096,RIVERDALE NURSING HOME,1,2,4,1,1,4/1/2016
135056,LINCOLN COUNTY CARE CENTER,5,5,3,5,5,4/1/2016
365426,ARBORS WEST,3,3,4,2,1,4/1/2016
265385,HERITAGE HALL NURSING CENTER,5,5,5,3,3,4/1/2016
345298,HUNTINGTON HEALTH CARE,1,1,1,4,3,4/1/2016
455969,PATRIOT HEIGHTS HEALTH CARE CENTER,2,1,4,4,4,4/1/2016
185250,OAKMONT MANOR,5,4,5,4,3,4/1/2016
315439,BRISTOL GLEN SNF,3,2,2,4,5,4/1/2016
105782,"SUNBELT HEALTH & REHAB CENTER-APOPKA, INC",4,4,4,3,4,4/1/2016
445129,FORT SANDERS SEVIER NURSING HOME,2,1,4,4,5,4/1/2016
455756,MANORCARE HEALTH SERVICES - WEST HOUSTON,4,2,5,5,5,4/1/2016
265819,OAK TREE VILLAS-A STONEBRIDGE COMMUNITY,4,3,3,4,4,4/1/2016
145961,HEDDINGTON OAKS,3,2,3,4,3,4/1/2016
335655,MIDDLETOWN PARK REHABILITATION & H C C,5,5,5,2,2,4/1/2016
455946,SWEETWATER HEALTHCARE CENTER,3,3,2,3,2,4/1/2016
345446,COLLEGE PINES HEALTH AND REHAB CENTER,2,1,5,5,5,4/1/2016
375241,ROLLING HILLS CARE CENTER,2,4,1,1,1,4/1/2016
105683,OAKBROOK OF LABELLE,5,5,5,4,4,4/1/2016
345001,HILLCREST CONVALESCENT CENTER,5,5,5,4,4,4/1/2016
265475,"MARANATHA VILLAGE, INC",5,5,2,3,2,4/1/2016
215256,"NMS HEALTHCARE OF HAGERSTOWN, LLC",2,1,5,2,3,4/1/2016
435080,BETHESDA OF BERESFORD,4,2,5,4,4,4/1/2016
155687,GOLDEN LIVING CENTER-MUNCIE,1,1,4,1,2,4/1/2016
335617,LATTA ROAD NURSING HOME WEST,3,2,3,5,5,4/1/2016
345312,BRIAN CTR HEALTH & REHAB/HENDERSONVILLE,2,2,3,2,4,4/1/2016
385240,MARIAN ESTATES,4,3,4,4,4,4/1/2016
245283,ST MICHAELS HEALTH & REHAB CENTER,2,2,4,3,3,4/1/2016
155277,APERION CARE VALPARAISO,1,1,1,4,4,4/1/2016
675766,THE COURTYARD REHABILITATION AND HEALTHCARE CENTER,4,3,5,3,3,4/1/2016
505257,ALDERWOOD MANOR,4,3,2,4,5,4/1/2016
55742,HARBOR VILLA CARE CENTER,4,3,5,3,3,4/1/2016
555218,ST ANDREWS HEALTHCARE,5,3,5,4,4,4/1/2016
365858,BRIARWOOD THE,4,4,2,3,3,4/1/2016
375146,BROADWAY MANOR NURSING HOME,3,3,4,3,2,4/1/2016
245306,GOLDEN LIVINGCENTER - ROCHESTER WEST,4,3,5,3,5,4/1/2016
225674,KINDRED TRANSITIONAL CARE & REHABILITATION-AVERY,2,1,5,4,4,4/1/2016
375252,MIDWEST CITY HEALTHCARE RESIDENCE,1,1,1,3,2,4/1/2016
675656,HACIENDA OAKS NURSING & REHAB,2,3,1,2,3,4/1/2016
335438,MEADOWBROOK HEALTHCARE,2,2,4,2,4,4/1/2016
165341,OELWEIN HEALTH CARE CENTER,4,4,4,4,3,4/1/2016
285197,GOOD SAMARITAN SOCIETY - ALBION,4,4,4,3,4,4/1/2016
175263,GOOD SAMARITAN SOCIETY - OLATHE,2,3,1,3,3,4/1/2016
205118,NARRAGUAGUS BAY HEALTH CARE FACILITY,2,2,1,4,4,4/1/2016
135125,MERIDIAN CENTER GENESIS HEALTHCARE,2,1,2,4,4,4/1/2016
675327,PAMPA NURSING CENTER,2,4,1,1,2,4/1/2016
425288,PRUITTHEALTH RIDGEWAY,2,1,5,4,4,4/1/2016
235383,ST JOSEPH'S HEALTHCARE CENTER,2,3,2,1,1,4/1/2016
255243,BILLDORA SENIOR CARE,5,4,5,5,5,4/1/2016
65124,HOLLY HEIGHTS CARE CENTER,5,4,5,3,3,4/1/2016
25A197,JNH-JAQUITH INN,4,4,4,4,4,4/1/2016
366415,CAPE MAY RETIREMENT VILLAGE,5,5,4,5,5,4/1/2016
395438,SPIRITRUST LUTHERAN THE VILLAGE AT SHREWSBURY,3,2,5,2,3,4/1/2016
445296,LIFE CARE CENTER OF EAST RIDGE,3,3,3,3,3,4/1/2016
146141,TERRACES AT THE CLARE,5,5,5,5,5,4/1/2016
315008,LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER,3,2,5,3,4,4/1/2016
265320,CARTHAGE HEALTH AND REHABILITATION CENTER,1,1,2,3,3,4/1/2016
396017,POWERBACK REHABILITATION 3485 DAVISVILLE ROAD,4,4,3,4,5,4/1/2016
365829,VILLA SPRINGFIELD,5,4,5,4,4,4/1/2016
385182,CRESWELL HEALTH AND REHABILITATION CENTER,4,2,5,4,4,4/1/2016
55013,EISENBERG VILLAGE,3,2,2,4,3,4/1/2016
195522,"GOLDEN AGE OF WELSH, LLC",1,1,3,1,1,4/1/2016
325067,GOOD SAMARITAN SOCIETY LAS CRUCES VILLAGE,4,3,4,4,4,4/1/2016
265245,COLONIAL SPRINGS HEALTHCARE CENTER,5,5,3,3,4,4/1/2016
335300,FORT HUDSON NURSING CENTER INC,3,3,4,3,2,4/1/2016
396081,SAINT MARY'S AT ASBURY RIDGE,4,4,2,3,4,4/1/2016
215223,CHARLESTOWN COMMUNITY INC,5,5,5,4,3,4/1/2016
265230,OZARK MOUNTAIN REGIONAL HEALTHCARE CENTER,4,3,5,3,4,4/1/2016
106003,LADY LAKE SPECIALTY CARE CENTER,4,3,4,4,3,4/1/2016
195589,CHATEAU DE NOTRE DAME,5,5,5,3,2,4/1/2016
555376,DANVILLE REHABILITATION,5,5,5,4,4,4/1/2016
555887,LAKESIDE SPECIAL CARE CENTER,5,5,5,3,1,4/1/2016
366241,STEUBENVILLE COUNTRY CLUB MANOR,1,1,1,2,3,4/1/2016
676132,TRAIL LAKE NURSING & REHABILITATION,3,5,1,1,2,4/1/2016
445435,WOODBURY HEALTH AND REHABILITATION CENTER,4,4,3,3,2,4/1/2016
225176,HERITAGE HALL SOUTH,1,1,3,3,4,4/1/2016
235709,THE RIVERS HEALTH & REHAB CENTER OF GROSSE POINTE,,,,,,4/1/2016
335455,CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,5,4,5,2,3,4/1/2016
145705,NATHAN HEALTH CARE CENTER,1,2,1,,,4/1/2016
345142,UNIVERSITY PLACE NURSING AND REHABILITATION CENTER,1,1,2,1,1,4/1/2016
225147,SAUGUS CENTER,4,3,2,4,4,4/1/2016
445110,"NHC HEALTHCARE, COOKEVILLE",3,3,4,3,3,4/1/2016
525664,ATRIUM POST ACUTE CARE OF TWO RIVERS,5,5,5,2,3,4/1/2016
345232,BRIAN CTR HEALTH & REHABI HICK,1,1,1,1,2,4/1/2016
155736,MILL POND HEALTH CAMPUS,4,4,2,3,4,4/1/2016
105477,BAY POINTE NURSING PAVILION,3,2,5,2,2,4/1/2016
515153,"FAYETTE NURSING AND REHABILITATION CENTER, LLC",2,3,2,1,2,4/1/2016
225352,RENAISSANCE MANOR ON CABOT,5,4,5,4,4,4/1/2016
366285,SHADYSIDE CARE CENTER,2,3,1,2,3,4/1/2016
365432,DIPLOMAT HEALTHCARE,4,4,5,1,2,4/1/2016
396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,5,3,5,4,5,4/1/2016
425090,MAGNOLIA MANOR - GREENVILLE,2,2,3,3,3,4/1/2016
555438,KEIRO NURSING HOME II,4,3,5,2,2,4/1/2016
555827,ATHERTON HEALTHCARE,2,2,2,3,4,4/1/2016
105166,MADISON POINTE REHABILITATION AND HEALTH CENTER,1,1,4,2,2,4/1/2016
555342,SUNNY VIEW MANOR,5,5,4,4,4,4/1/2016
375408,THE GARDENS,5,4,5,2,2,4/1/2016
65239,SAN LUIS CARE CENTER,3,3,3,3,4,4/1/2016
255115,MANHATTAN NURSING AND REHABILITATION CENTER LLC,4,4,2,3,3,4/1/2016
225549,BRIGHAM HEALTH AND REHABILITATION CENTER,3,3,4,3,3,4/1/2016
155368,TODD-DICKEY NURSING AND REHABILITATION,3,4,1,3,3,4/1/2016
375512,MITCHELL MANOR CONVALESCENT HOME LLC,5,4,5,3,1,4/1/2016
445425,MILLINGTON HEALTHCARE CENTER,2,2,5,1,1,4/1/2016
105770,TRI-COUNTY NURSING HOME,1,1,1,3,2,4/1/2016
395413,WESLEY ENHANCED LIVING PENNYPACK PARK,4,3,5,3,5,4/1/2016
05A063,"CRESTHAVEN SKILLED NURSING FACILITY, INC",2,1,,5,5,4/1/2016
15423,BROOKDALE UNIVERSITY PARK SNF (AL),1,1,1,5,5,4/1/2016
345201,GOLDEN LIVINGCENTER - CHARLOTTE,1,1,3,3,3,4/1/2016
455942,LUBBOCK HEALTH CARE CENTER,2,3,2,1,2,4/1/2016
366134,HARDIN HILLS HEALTH CENTER,1,1,1,4,3,4/1/2016
105570,INDIGO MANOR,2,3,3,1,2,4/1/2016
52A431,ST ANN REST HOME,5,5,5,4,5,4/1/2016
155469,SEBO'S NURSING AND REHABILITATION CENTER,2,2,2,2,2,4/1/2016
225211,ELLIS NURSING HOME (THE),4,3,3,5,5,4/1/2016
335083,BERKSHIRE NURSING AND REHAB,3,3,2,2,3,4/1/2016
155696,BRIDGEPOINTE HEALTH CAMPUS,3,2,3,4,4,4/1/2016
455831,PARIS HEALTHCARE CENTER,1,2,2,1,1,4/1/2016
105693,CONSULATE HEALTH CARE OF LAKE PARKER,2,2,5,1,1,4/1/2016
15408,"WALKER REHABILITATION CENTER, INC",3,2,2,4,3,4/1/2016
445146,GRACE HEALTHCARE OF FRANKLIN,1,1,2,3,3,4/1/2016
365612,SUMMIT ACRES NURSING HOME,4,3,5,3,3,4/1/2016
675150,ODD FELLOW AND REBEKAH NURSING HOME,1,1,1,3,3,4/1/2016
155672,HAMILTON GROVE,4,3,2,4,4,4/1/2016
225510,PRESCOTT HOUSE,4,4,4,4,4,4/1/2016
315369,CARE ONE AT VALLEY,5,4,5,5,5,4/1/2016
15076,FAIR HAVEN RETIREMENT CENTER,2,1,5,4,3,4/1/2016
345508,REX REHAB & NURSING CARE CENTER OF APEX,5,3,5,4,4,4/1/2016
555838,"CAMDEN POSTACUTE CARE, INC",4,3,2,4,4,4/1/2016
366269,WYANDOT COUNTY SKILLED NURSING AND REHABILITATION,2,2,2,3,3,4/1/2016
105401,AYERS HEALTH AND REHABILITATION CENTER,4,4,4,4,3,4/1/2016
395506,PALMYRA HEALTH AND REHABILITATION CENTER,4,4,3,2,4,4/1/2016
4.40E+166,HARBERT HILLS ACADEMY N H,5,5,5,3,2,4/1/2016
55153,MONTEBELLO CARE CENTER,3,2,5,3,3,4/1/2016
125005,ISLAND NURSING HOME,5,5,5,4,5,4/1/2016
185394,ST ELIZABETH FLORENCE SNF,4,5,1,5,5,4/1/2016
146068,SUNNY ACRES NURSING HOME,5,5,5,4,3,4/1/2016
335284,CENTRAL ISLAND HEALTHCARE,3,3,2,3,3,4/1/2016
195394,COLONIAL MANOR NURSING & REHABILITATION CENTER LLC,1,1,1,3,2,4/1/2016
155606,WESTSIDE RETIREMENT VILLAGE,4,3,5,2,2,4/1/2016
525306,GOLDEN LIVINGCENTER-DORCHESTER,3,3,4,2,4,4/1/2016
165585,ALL-AMERICAN CARE CENTER,1,1,1,4,3,4/1/2016
155235,MILLER'S MERRY MANOR,5,4,5,4,4,4/1/2016
495213,BAYSIDE HEALTH & REHABILITATION CENTER,3,3,3,3,4,4/1/2016
505441,NORTH CENTRAL CARE AND REHABILITATION,4,4,1,5,5,4/1/2016
155580,APERION CARE TOLLESTON PARK,1,1,2,1,1,4/1/2016
495333,HIGHLAND RIDGE REHAB CENTER,5,4,5,4,4,4/1/2016
315022,PRESBYTERIAN HOME - MEADOW  LAKES,5,4,5,3,3,4/1/2016
225394,"WOBURN NURSING CENTER, INC",5,5,4,4,5,4/1/2016
165082,SHADY OAKS CARE CENTER,3,2,2,4,5,4/1/2016
285150,CREST VIEW HEALTHCARE COMMUNITY,2,1,3,4,5,4/1/2016
555718,ROWNTREE GARDENS,5,4,5,4,4,4/1/2016
185193,HYDEN HEALTH & REHABILITATION CENTER,4,4,5,1,1,4/1/2016
225145,GOLDEN LIVING CENTER-OAK HILL,1,2,1,2,2,4/1/2016
75059,BIRMINGHAM HEALTH CENTER,3,2,5,3,3,4/1/2016
105901,WESTMINSTER WOODS ON JULINGTON CREEK,2,1,4,4,5,4/1/2016
375303,WEWOKA HEALTHCARE CENTER,1,1,2,1,1,4/1/2016
455651,DOWNTOWN HEALTH AND REHABILITATION CENTER,5,4,5,2,2,4/1/2016
445431,"LEXINGTON HEALTH CARE AND REHABILITATION, INC",4,4,2,4,4,4/1/2016
145367,HERITAGE HEALTH-GILLESPIE,5,5,4,4,4,4/1/2016
75144,APPLE REHAB GUILFORD,4,3,4,4,5,4/1/2016
195476,CAPITOL HOUSE NURSING AND REHAB CENTER,1,1,3,1,1,4/1/2016
145770,GOOD SAMARITAN SOCIETY - MOUNT CARROLL,5,5,5,3,4,4/1/2016
26A490,FIESER NURSING CENTER,3,3,3,2,1,4/1/2016
135018,MONTE VISTA HILLS HEALTHCARE CENTER,5,3,5,5,5,4/1/2016
335339,MOUNTAINSIDE RESIDENTIAL CARE,5,5,5,4,5,4/1/2016
445174,BROOKHAVEN MANOR,1,1,1,1,2,4/1/2016
555187,CATALINA ISLAND MEDICAL CENTER D/P SNF,2,1,,5,5,4/1/2016
305062,WESTWOOD CENTER,4,3,2,4,4,4/1/2016
676040,GARDEN VILLA NURSING HOME,3,3,3,2,2,4/1/2016
525412,ATRIUM POST ACUTE CARE OF SHAWANO AT BIRCH HILL,4,4,3,3,3,4/1/2016
15012,HIGHLANDS HEALTH AND REHAB,4,4,2,4,3,4/1/2016
676310,SOLERA AT WEST HOUSTON,2,2,5,1,2,4/1/2016
395953,SIGNATURE HEALTHCARE OF BLOOMSBURG REHAB & WELLNES,2,1,5,3,4,4/1/2016
676108,VIDOR HEALTH & REHABILITATION CENTER,1,2,3,1,1,4/1/2016
225287,HERITAGE SKILLED NURSING AND REHABILITATION,1,1,2,2,2,4/1/2016
345416,BERMUDA VILLAGE RETIREMENT CEN,2,3,1,,,4/1/2016
56222,MARQUIS CARE AT SHASTA,2,1,2,4,3,4/1/2016
676215,THE REHABILITATION & WELLNESS CENTRE OF DALLAS LLC,4,4,4,4,4,4/1/2016
555877,RIDGECREST REGIONAL TRANSITIONAL CARE AND REHABILI,4,3,4,5,5,4/1/2016
335600,HERITAGE HEALTH CARE CENTER,1,1,3,1,1,4/1/2016
395845,CRANBERRY PLACE,4,3,4,4,4,4/1/2016
515057,GRAFTON CITY HOSPITAL,1,1,1,3,4,4/1/2016
135079,APEX CENTER,2,1,5,4,5,4/1/2016
265247,KIRKSVILLE MANOR CARE CENTER,4,3,4,4,4,4/1/2016
195393,DEERFIELD NURSING & REHABILITATION CENTER,2,3,1,3,2,4/1/2016
555316,COPPER RIDGE CARE CENTER,4,2,5,4,4,4/1/2016
235207,OAKPOINTE SENIOR CARE AND REHAB CENTER,4,3,5,3,3,4/1/2016
495086,KINDRED TCC AND REHABILITATION-BAY POINTE,4,2,5,4,5,4/1/2016
345392,"AMBASSADOR HEALTH & REHAB OF WADESBORO, LLC",2,3,1,3,3,4/1/2016
235039,BROOKCREST,4,3,3,4,3,4/1/2016
305053,GRAFTON COUNTY NURSING HOME,4,3,2,4,4,4/1/2016
305024,ROCHESTER MANOR,2,2,4,3,4,4/1/2016
75282,WOLCOTT VIEW MANOR,5,3,5,4,4,4/1/2016
365412,COMMUNITY SKILLED HEALTH CARE,2,2,5,1,1,4/1/2016
395474,ELMWOOD GARDENS,5,5,4,4,4,4/1/2016
345225,SIGNATURE HEALTHCARE OF CHAPEL HILL,5,4,5,3,3,4/1/2016
145761,LAKEWOOD NRSG & REHAB CENTER,4,4,2,2,4,4/1/2016
265633,CAMERON NURSING AND REHABILITATION CENTER,2,1,5,2,2,4/1/2016
495153,GOLDEN LIVINGCENTER -CHARLOTTESVILLE,2,1,5,1,1,4/1/2016
355102,NAPOLEON CARE CENTER,4,3,4,4,4,4/1/2016
365646,KINGSTON OF ASHLAND,4,4,4,4,4,4/1/2016
05A028,CRESTWOOD MANOR - VALLEJO,4,4,,3,3,4/1/2016
56231,LASSEN NURSING & REHABILITATION CENTER,1,1,3,3,3,4/1/2016
145690,GALESBURG COTTAGE HOSPITAL SKILLED NSG UNIT,5,5,2,5,5,4/1/2016
335694,BROOKHAVEN HEALTH CARE FACILITY L L C,5,4,5,4,5,4/1/2016
495133,VALLEY HEALTH CARE CENTER,4,3,5,3,3,4/1/2016
35280,SANTE OF MESA,5,5,5,4,4,4/1/2016
366113,LIBERTY HEALTH CARE CENTER INC,2,2,2,3,3,4/1/2016
195336,MARRERO HEALTHCARE CENTER,4,4,5,1,2,4/1/2016
245553,PARKVIEW MANOR NURSING HOME,5,4,5,3,4,4/1/2016
115482,EAST LAKE ARBOR,2,2,4,2,1,4/1/2016
365928,COURT HOUSE MANOR,3,3,2,2,3,4/1/2016
525518,TIVOLI AT DIVINE SAVIOR HEALTHCARE,3,3,1,5,5,4/1/2016
395058,REST HAVEN-YORK,1,1,1,3,2,4/1/2016
525498,TRINITY VILLAGE,2,1,5,3,3,4/1/2016
395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,5,4,5,2,2,4/1/2016
395537,GLENDALE UPTOWN HOME,1,1,3,3,3,4/1/2016
225067,GOLDEN LIVING CENTER-WEDGEMERE,1,1,2,3,4,4/1/2016
315378,HOMESTEAD REHABILITATION & HEALTH CARE CENTER,3,3,5,1,2,4/1/2016
235358,TENDERCARE OF LUDINGTON,3,2,5,3,5,4/1/2016
245386,GOLDEN LIVINGCENTER - SLAYTON,1,1,2,2,3,4/1/2016
265238,MILAN HEALTH CARE CENTER,3,2,5,3,2,4/1/2016
175504,SPRING VIEW MANOR,2,2,1,4,4,4/1/2016
55126,CHINO VALLEY HEALTH CARE CENTE,3,2,5,3,2,4/1/2016
285081,CHI HEALTH ST FRANCIS,4,4,3,,,4/1/2016
215071,HEBREW HOME OF GREATER WASHINGTON,4,4,4,4,4,4/1/2016
555638,LOS ANGELES COMM HOSPITAL,2,2,3,2,2,4/1/2016
235378,RESTHAVEN CARE CENTER,4,3,5,,,4/1/2016
315209,HAMMONTON CENTER FOR REHABILITATION AND HEALTHCARE,2,1,5,4,4,4/1/2016
